,feature_name,nlog_p_0,nlog_p_1,nlog_p_2,nlog_p_3,nlog_p_4,nlog_p_5,Trait ID,Subset or Surface Protein,Full Subset Name,max_nlog_p
85,P4:204,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:204,2+314-334-337+158a+158b-R7-,16+56-/2+314-334-337+158a+158b-R7-,17.726112259158764
157,P4:506,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:506,CD2+314-334-337+158b-R7-,16+56-/CD2+314-334-337+158b-R7-,17.726112259158764
235,P4:733,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:733,CD2+314-334-337+R7-,16+56-/CD2+314-334-337+R7-,17.726112259158764
239,P4:814,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:814,CD2+314-334-337+158a+R7-,16+56-/CD2+314-334-337+158a+R7-,17.726112259158764
230,P4:579,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:579,334-337+158a+158b-R7-,16+56-/334-337+158a+158b-R7-,17.726112259158764
229,P4:577,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:577,314-334-337+158a+158b-R7-,16+56-/314-334-337+158a+158b-R7-,17.726112259158764
232,P4:583,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:583,314-337+158a+158b-R7-,16+56-/314-337+158a+158b-R7-,17.726112259158764
233,P4:584,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:584,CD2+314-337+158a+158b-R7-,16+56-/CD2+314-337+158a+158b-R7-,17.726112259158764
234,P4:732,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:732,314-334-337+R7-,16+56-/314-334-337+R7-,17.726112259158764
238,P4:813,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:813,314-334-337+158a+R7-,16+56-/314-334-337+158a+R7-,17.726112259158764
231,P4:580,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:580,CD2+334-337+158a+158b-R7-,16+56-/CD2+334-337+158a+158b-R7-,17.726112259158764
241,P4:822,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:822,314-337+158a+R7-,16+56-/314-337+158a+R7-,17.726112259158764
242,P4:823,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:823,CD2+314-337+158a+R7-,16+56-/CD2+314-337+158a+R7-,17.726112259158764
240,P4:817,1.5429239464852621e-15,4.821637332766436e-17,17.726112259158764,12.917663318112089,2.4108186663832244e-15,-0.0,P4:817,CD2+334-337+158a+R7-,16+56-/CD2+334-337+158a+R7-,17.726112259158764
45,P1:337,0.0826895901412934,0.1020168356968064,17.253470691126108,12.627464396137936,0.0457999714734305,0.0700312636989569,P1:337,27-28-31-57+95-127+244-RA-,DPT/27-28-31-57+95-127+244-RA-,17.253470691126108
25,P1:20441,0.2400304849543616,0.1350825147645384,16.680732271204754,12.21730857057012,0.1320101110668676,0.012104562536814,P1:20441,27-31-57+95-127+244-RA-,DPT/27-31-57+95-127+244-RA-,16.680732271204754
24,P1:20440,0.0017548727105435,0.0674286894726101,16.656724789810635,10.16954362257914,0.0335705100115135,0.0947918466147026,P1:20440,28-31-57+95-127+244-RA-,DPT/28-31-57+95-127+244-RA-,16.656724789810635
97,P4:4559,11.79411652625555,0.3323694417321705,15.63174297214412,12.603981032513836,0.0630873900924693,2.219117369368236,P4:4559,CD2+337+158a-158b-R7-,56+16-/CD2+337+158a-158b-R7-,15.63174297214412
33,P1:21145,0.0137520359743318,0.0096858681936776,15.477641665372436,11.817490194695106,0.184173039604949,0.4311940861606972,P1:21145,27-28-31-57+95-127+RA-,DPT/27-28-31-57+95-127+RA-,15.477641665372436
169,P4:5236,12.34795167978339,0.3969363050888588,15.439158523130937,12.597602041132037,0.055196950384824,2.3248783940790863,P4:5236,CD2+337+158a-158b-,56+16-/CD2+337+158a-158b-,15.439158523130937
113,P4:4636,11.845506338691145,0.424394838724586,15.366257018804994,11.9117456401951,0.0735640856881197,2.219958824794769,P4:4636,CD2+337+158b-R7-,56+16-/CD2+337+158b-R7-,15.366257018804994
17,P1:20205,0.2666676196525643,0.1255399264299045,15.289955022230108,11.437899883143029,0.1381635257632412,0.2006262764365186,P1:20205,27-28-31-57+95-244-RA-,DPT/27-28-31-57+95-244-RA-,15.289955022230108
